,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
7190,Mountain Chickadee,Poecile gambeli,LC,LC,7380
7191,Mexican Chickadee,Poecile sclateri,LC,LC,7370
7193,Boreal Chickadee,Poecile hudsonicus,LC,LC,7400
7194,Chestnut-backed Chickadee,Poecile rufescens,LC,LC,7410
7305,Horned Lark,Eremophila alpestris,LC,LC,4740
7316,Eurasian Skylark,Alauda arvensis,LC,LC,4730
7671,Cliff Swallow,Petrochelidon pyrrhonota,LC,LC,6120
7672,Cave Swallow,Petrochelidon fulva,LC,LC,6121
7688,Barn Swallow,Hirundo rustica,LC,LC,6130
7709,Tree Swallow,Tachycineta bicolor,LC,LC,6140
7710,Violet-green Swallow,Tachycineta thalassina,LC,LC,6150
7721,Purple Martin,Progne subis,LC,LC,6110
7950,Arctic Warbler,Phylloscopus borealis,LC,LC,7470
8516,Pygmy Nuthatch,Sitta pygmaea,LC,LC,7300
8517,Brown-headed Nuthatch,Sitta pusilla,LC,LC,7290
8523,Red-breasted Nuthatch,Sitta canadensis,LC,LC,7280
8527,White-breasted Nuthatch,Sitta carolinensis,LC,LC,7270
8544,California Gnatcatcher,Polioptila californica,LC,LC,7530
8545,Black-tailed Gnatcatcher,Polioptila melanura,LC,LC,7520
8554,Rock Wren,Salpinctes obsoletus,LC,LC,7150
8559,Canyon Wren,Catherpes mexicanus,LC,LC,7170
8565,Pacific Wren,Troglodytes pacificus,LC,LC,7221
8566,Winter Wren,Troglodytes hiemalis,LC,LC,7222
8569,House Wren,Troglodytes aedon,LC,LC,7210
8579,Sedge Wren,Cistothorus stellaris,LC,LC,7240
8583,Marsh Wren,Cistothorus palustris,LC,LC,7250
8584,Carolina Wren,Thryothorus ludovicianus,LC,LC,7180
8586,Bewick's Wren,Thryomanes bewickii,LC,LC,7190
8599,Cactus Wren,Campylorhynchus brunneicapillus,LC,LC,7130
8621,Sinaloa Wren,Thryophilus sinaloa,LC,LC,16600
8649,American Dipper,Cinclus mexicanus,LC,LC,7010
8673,Common Myna,Acridotheres tristis,LC,LC,4932
8798,Northern Mockingbird,Mimus polyglottos,LC,LC,7030
8801,Bahama Mockingbird,Mimus gundlachii,LC,LC,7031
8806,Sage Thrasher,Oreoscoptes montanus,LC,LC,7020
8807,Curve-billed Thrasher,Toxostoma curvirostre,LC,LC,7070
8809,Brown Thrasher,Toxostoma rufum,LC,LC,7050
8810,Long-billed Thrasher,Toxostoma longirostre,LC,LC,7060
8812,Bendire's Thrasher,Toxostoma bendirei,VU,VU,7080
8814,California Thrasher,Toxostoma redivivum,LC,LC,7100
8815,Crissal Thrasher,Toxostoma crissale,LC,LC,7120
8817,Western Bluebird,Sialia mexicana,LC,LC,7670
8818,Eastern Bluebird,Sialia sialis,LC,LC,7660
8819,Mountain Bluebird,Sialia currucoides,LC,LC,7680
8825,Townsend's Solitaire,Myadestes townsendi,LC,LC,7540
8858,Varied Thrush,Ixoreus naevius,LC,LC,7630
8866,Wood Thrush,Hylocichla mustelina,NT,LC,7550
8867,Swainson's Thrush,Catharus swainsoni,LC,LC,7580
8871,Bicknell's Thrush,Catharus bicknelli,VU,VU,7571
8872,Hermit Thrush,Catharus guttatus,LC,LC,7590
8927,Clay-colored Thrush,Turdus grayi,LC,LC,7621
8945,American Robin,Turdus migratorius,LC,LC,7610
9303,Northern Wheatear,Oenanthe oenanthe,LC,LC,7650
9332,Ruby-crowned Kinglet,Regulus calendula,LC,LC,7490
9333,Golden-crowned Kinglet,Regulus satrapa,LC,LC,7480
9342,Bohemian Waxwing,Bombycilla garrulus,LC,LC,6180
9344,Cedar Waxwing,Bombycilla cedrorum,LC,LC,6190
9589,Olive Warbler,Peucedramus taeniatus,LC,LC,6510
9801,Scaly-breasted Munia,Lonchura punctulata,LC,LC,8110
